temperature,humidity,moisture,soil_type,crop_type,nitrogen,potassium,phosphorous,fertilizer_name,field_capacity,wilting_point,clay_fraction,cec_baseline,om_baseline,vpd_kpa,smd,saturation_excess,soil_temp_estimate,q10_proxy,t_max_est,t_min_est,et0_estimate,n_mineralization_index,k_depletion_proxy,n_leach_risk,general_stress,p_immobility_index
26.0,52.0,38.0,Sandy,Maize,37,0,0,Urea,0.1,0.04,0.05,5.0,0.5,1.6134911177292306,-0.28,0.28,23.400000000000002,0.3161356054541353,31.0,21.0,12.105578356443777,0.15806780272706766,3.9064486306194506,0.266,-0.4517775129641846,0.1
29.0,52.0,45.0,Loamy,Sugarcane,12,0,36,DAP,0.25,0.12,0.2,15.0,2.0,1.922725248041242,-0.2,0.2,26.1,0.5106822530292322,34.0,24.0,12.934727558939924,1.0213645060584644,1.65799515027391,0.16000000000000003,-0.3845450496082484,0.1
34.0,65.0,62.0,Black,Cotton,7,9,30,14-35-14,0.45,0.28,0.55,35.0,1.5,1.8617410734509567,-0.16999999999999998,0.16999999999999998,30.6,1.18053083684952,39.0,29.0,14.316642896433507,1.77079625527428,0.7615394889777181,0.07649999999999998,-0.3164959824866626,0.1
32.0,62.0,34.0,Red,Tobacco,22,0,20,28-28,0.22,0.1,0.3,12.0,1.0,1.806814650579489,-0.12000000000000002,0.12000000000000002,28.8,0.5263390661991557,37.0,27.0,13.763876761436075,0.5263390661991557,2.072397848444439,0.084,-0.21681775806953874,0.1
28.0,54.0,46.0,Clayey,Paddy,35,0,0,Urea,0.4,0.25,0.5,30.0,2.5,1.7387679674378207,-0.06,0.06,25.2,0.47070260819172,33.0,23.0,12.658344491441209,1.1767565204793,0.7336641307503655,0.03,-0.10432607804626924,0.1
26.0,52.0,35.0,Sandy,Barley,12,10,13,17-17-17,0.1,0.04,0.05,5.0,0.5,1.6134911177292306,-0.24999999999999997,0.24999999999999997,23.400000000000002,0.29117753133933516,31.0,21.0,12.105578356443777,0.14558876566966758,3.9064486306194506,0.23749999999999996,-0.4033727794323076,0.1
25.0,50.0,64.0,Red,Cotton,9,0,10,20-20,0.22,0.1,0.3,12.0,1.0,1.5838888587534237,-0.42000000000000004,0.42000000000000004,22.5,0.48008740273342837,30.0,20.0,11.829195288945058,0.48008740273342837,1.5613442188482136,0.294,-0.665233320676438,0.1
33.0,64.0,50.0,Loamy,Wheat,41,0,0,Urea,0.25,0.12,0.2,15.0,2.0,1.8108532064184661,-0.25,0.25,29.7,0.8584325400762817,38.0,28.0,14.04025982893479,1.7168650801525633,1.6949899686783299,0.2,-0.45271330160461654,0.1
30.0,60.0,42.0,Sandy,Millets,21,0,18,28-28,0.1,0.04,0.05,5.0,0.5,1.6972260235036054,-0.31999999999999995,0.31999999999999995,27.0,0.5286120041703807,35.0,25.0,13.211110626438643,0.26430600208519034,4.484448150915337,0.30399999999999994,-0.5431123275211537,0.1
29.0,58.0,33.0,Black,Oil seeds,9,7,30,14-35-14,0.45,0.28,0.55,35.0,1.5,1.6823845920360871,0.12,0.0,26.1,0.37450031888810364,34.0,24.0,12.934727558939924,0.5617504783321554,0.6217481813527165,0.0,0.20188615104433044,0.1
27.0,54.0,28.0,Clayey,Pulses,13,0,40,DAP,0.4,0.25,0.5,30.0,2.5,1.640056480872989,0.12,0.0,24.3,0.2583433730034519,32.0,22.0,12.381961423942492,0.6458584325086297,0.6769038693085409,0.0,0.19680677770475866,0.1
31.0,62.0,48.0,Sandy,Maize,14,15,12,17-17-17,0.1,0.04,0.05,5.0,0.5,1.7071850554250614,-0.38,0.38,27.900000000000002,0.6700056223399298,36.0,26.0,13.487493693937358,0.3350028111699649,4.605129533885923,0.361,-0.6487303210615233,0.1
25.0,50.0,65.0,Loamy,Cotton,36,0,0,Urea,0.25,0.12,0.2,15.0,2.0,1.5838888587534237,-0.4,0.4,22.5,0.48758876840113824,30.0,20.0,11.829195288945058,0.9751775368022765,1.249075375078571,0.32000000000000006,-0.6335555435013696,0.1
32.0,62.0,41.0,Clayey,Paddy,24,0,22,28-28,0.4,0.25,0.5,30.0,2.5,1.806814650579489,-0.009999999999999953,0.009999999999999953,28.8,0.6347029915930995,37.0,27.0,13.763876761436075,1.5867574789827488,0.8289591393777758,0.004999999999999977,-0.018068146505794806,0.1
26.0,52.0,31.0,Red,Ground Nuts,14,0,41,DAP,0.22,0.1,0.3,12.0,1.0,1.6134911177292306,-0.09,0.09,23.400000000000002,0.2579000991862683,31.0,21.0,12.105578356443777,0.2579000991862683,1.627686929424771,0.063,-0.14521420059563075,0.1
31.0,62.0,49.0,Black,Sugarcane,10,13,14,17-17-17,0.45,0.28,0.55,35.0,1.5,1.7071850554250614,-0.03999999999999998,0.03999999999999998,27.900000000000002,0.683964072805345,36.0,26.0,13.487493693937358,1.0259461092080175,0.6578756476979889,0.017999999999999988,-0.06828740221700243,0.1
33.0,64.0,34.0,Clayey,Pulses,38,0,0,Urea,0.4,0.25,0.5,30.0,2.5,1.8108532064184661,0.06,0.0,29.7,0.5837341272518716,38.0,28.0,14.04025982893479,1.4593353181296789,0.8474949843391649,0.0,0.10865119238510797,0.1
25.0,50.0,39.0,Sandy,Barley,21,0,19,28-28,0.1,0.04,0.05,5.0,0.5,1.5838888587534237,-0.29000000000000004,0.29000000000000004,22.5,0.2925532610406829,30.0,20.0,11.829195288945058,0.14627663052034146,3.747226125235713,0.2755,-0.45932776903849293,0.1
28.0,54.0,65.0,Black,Cotton,39,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.7387679674378207,-0.2,0.2,25.2,0.6651232507056913,33.0,23.0,12.658344491441209,0.9976848760585371,0.6288549692145989,0.09,-0.3477535934875642,0.1
29.0,58.0,52.0,Loamy,Wheat,13,0,36,DAP,0.25,0.12,0.2,15.0,2.0,1.6823845920360871,-0.27,0.27,26.1,0.5901217146115573,34.0,24.0,12.934727558939924,1.1802434292231145,1.4507457564896717,0.21600000000000003,-0.45424383984974354,0.1
30.0,60.0,44.0,Sandy,Millets,10,0,9,20-20,0.1,0.04,0.05,5.0,0.5,1.6972260235036054,-0.33999999999999997,0.33999999999999997,27.0,0.5537840043689702,35.0,25.0,13.211110626438643,0.2768920021844851,4.484448150915337,0.32299999999999995,-0.5770568479912258,0.1
34.0,65.0,53.0,Loamy,Sugarcane,12,14,12,17-17-17,0.25,0.12,0.2,15.0,2.0,1.8617410734509567,-0.28,0.28,30.6,1.0091634573068478,39.0,29.0,14.316642896433507,2.0183269146136955,1.776925474281342,0.22400000000000003,-0.5212875005662679,0.1
35.0,68.0,33.0,Red,Tobacco,11,0,37,DAP,0.22,0.1,0.3,12.0,1.0,1.7992579963187585,-0.11000000000000001,0.11000000000000001,31.5,0.696865661806584,40.0,30.0,14.593025963932224,0.696865661806584,2.188051554674359,0.077,-0.19791837959506345,0.1
28.0,54.0,37.0,Black,Millets,36,0,0,Urea,0.45,0.28,0.55,35.0,1.5,1.7387679674378207,0.08000000000000002,0.0,25.2,0.37860861963247044,33.0,23.0,12.658344491441209,0.5679129294487056,0.6288549692145989,0.0,0.13910143739502567,0.1
33.0,64.0,39.0,Clayey,Paddy,13,0,10,20-20,0.4,0.25,0.5,30.0,2.5,1.8108532064184661,0.010000000000000009,0.0,29.7,0.6695773812594997,38.0,28.0,14.04025982893479,1.6739434531487494,0.8474949843391649,0.0,0.01810853206418468,0.1
26.0,52.0,44.0,Sandy,Maize,23,0,20,28-28,0.1,0.04,0.05,5.0,0.5,1.6134911177292306,-0.33999999999999997,0.33999999999999997,23.400000000000002,0.3660517536837356,31.0,21.0,12.105578356443777,0.1830258768418678,3.9064486306194506,0.32299999999999995,-0.5485869800279384,0.1
30.0,60.0,63.0,Red,Cotton,9,9,29,14-35-14,0.22,0.1,0.3,12.0,1.0,1.6972260235036054,-0.41000000000000003,0.41000000000000003,27.0,0.7929180062555711,35.0,25.0,13.211110626438643,0.7929180062555711,1.8685200628813903,0.287,-0.6958626696364782,0.1
32.0,62.0,30.0,Loamy,Sugarcane,38,0,0,Urea,0.25,0.12,0.2,15.0,2.0,1.806814650579489,-0.04999999999999999,0.04999999999999999,28.8,0.4644168231169021,37.0,27.0,13.763876761436075,0.9288336462338042,1.6579182787555515,0.039999999999999994,-0.09034073252897444,0.1
37.0,70.0,32.0,Black,Oil seeds,12,0,39,DAP,0.45,0.28,0.55,35.0,1.5,1.882444507237957,0.13,0.0,33.300000000000004,0.8311589031704812,42.0,32.0,15.145792098929656,1.2467383547557218,0.8146032326970908,0.0,0.2447177859409344,0.1
26.0,52.0,36.0,Clayey,Pulses,14,0,13,20-20,0.4,0.25,0.5,30.0,2.5,1.6134911177292306,0.040000000000000036,0.0,23.400000000000002,0.2994968893776019,31.0,21.0,12.105578356443777,0.7487422234440047,0.6510747717699084,0.0,0.06453964470916929,0.1
29.0,58.0,40.0,Red,Ground Nuts,24,0,23,28-28,0.22,0.1,0.3,12.0,1.0,1.6823845920360871,-0.18000000000000002,0.18000000000000002,26.1,0.45393978047042866,34.0,24.0,12.934727558939924,0.45393978047042866,1.8134321956120898,0.126,-0.30282922656649575,0.1
30.0,60.0,27.0,Loamy,Sugarcane,12,0,40,DAP,0.25,0.12,0.2,15.0,2.0,1.6972260235036054,-0.020000000000000018,0.020000000000000018,27.0,0.339822002680959,35.0,25.0,13.211110626438643,0.679644005361918,1.4948160503051122,0.016000000000000014,-0.03394452047007214,0.1
34.0,65.0,38.0,Clayey,Paddy,39,0,0,Urea,0.4,0.25,0.5,30.0,2.5,1.8617410734509567,0.020000000000000018,0.0,30.6,0.7235511580690607,39.0,29.0,14.316642896433507,1.8088778951726516,0.888462737140671,0.0,0.037234821469019165,0.1
36.0,68.0,38.0,Sandy,Barley,7,9,30,14-35-14,0.1,0.04,0.05,5.0,0.5,1.9011192645207515,-0.28,0.28,32.4,0.8899553142167249,41.0,31.0,14.86940903143094,0.44497765710836246,5.653703992338443,0.266,-0.5323133940658105,0.1
26.0,52.0,48.0,Loamy,Wheat,23,0,19,28-28,0.25,0.12,0.2,15.0,2.0,1.6134911177292306,-0.22999999999999998,0.22999999999999998,23.400000000000002,0.3993291858368025,31.0,21.0,12.105578356443777,0.798658371673605,1.3021495435398167,0.184,-0.371102957077723,0.1
